"seed","replicate","method","parameter","truth","estimate","abs_error"
20260820,8,"mirage_joint","pi01",0.01,0.00347896159065072,0.00652103840934928
20260820,8,"mirage_joint","pi11",0.01,0.0275730429271662,0.0175730429271662
20260820,8,"mirage_joint","eta1_C1",0.05,0.0736039241187125,0.0236039241187125
20260820,8,"mirage_joint","eta1_C2",0.2,0.261108245641387,0.0611082456413871
20260820,8,"mirage_joint","eta1_C3",0.5,0.602513338403121,0.102513338403121
20260820,8,"mirage_joint","eta2_C1",0.03,0.216639412048244,0.186639412048244
20260820,8,"mirage_joint","eta2_C2",0.15,0.018584794506043,0.131415205493957
20260820,8,"mirage_joint","eta2_C3",0.4,0.976313657536954,0.576313657536954
20260820,8,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260820,8,"separate_mirage","pi10",0.04,0.049,0.009
20260820,8,"separate_mirage","pi01",0.01,0.019,0.009
20260820,8,"separate_mirage","pi11",0.01,0.001,0.009
20260820,8,"separate_mirage","eta1_C1",0.05,0.104909760635982,0.0549097606359815
20260820,8,"separate_mirage","eta1_C2",0.2,0.412517880370334,0.212517880370334
20260820,8,"separate_mirage","eta1_C3",0.5,0.796810185950972,0.296810185950972
20260820,8,"separate_mirage","eta2_C1",0.03,0.414049542140551,0.384049542140551
20260820,8,"separate_mirage","eta2_C2",0.15,0.00105420606255274,0.148945793937447
20260820,8,"separate_mirage","eta2_C3",0.4,0.999991058550194,0.599991058550194
20260820,8,"mtada_aggregated","pi00",0.94,0.93269914,0.00730085999999996
20260820,8,"mtada_aggregated","pi10",0.04,0.04730086,0.00730086
20260820,8,"mtada_aggregated","pi01",0.01,0.01730086,0.00730086
20260820,8,"mtada_aggregated","pi11",0.01,0.00269914,0.00730086
20260821,9,"mirage_joint","pi00",0.94,0.646741302841147,0.293258697158853
20260821,9,"mirage_joint","pi10",0.04,0.125962318201881,0.0859623182018809
20260821,9,"mirage_joint","pi01",0.01,0.153782237878249,0.143782237878249
20260821,9,"mirage_joint","pi11",0.01,0.0735141410787232,0.0635141410787232
20260821,9,"mirage_joint","eta1_C1",0.05,0.0874223307076635,0.0374223307076635
20260821,9,"mirage_joint","eta1_C2",0.2,0.0737799899607382,0.126220010039262
20260821,9,"mirage_joint","eta1_C3",0.5,0.385847080662476,0.114152919337524
20260821,9,"mirage_joint","eta2_C1",0.03,0.100303881829006,0.0703038818290056
20260821,9,"mirage_joint","eta2_C2",0.15,0.1680543471635,0.0180543471635001
20260821,9,"mirage_joint","eta2_C3",0.4,0.270598810444806,0.129401189555194
20260821,9,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260821,9,"separate_mirage","pi10",0.04,0.049,0.009
20260821,9,"separate_mirage","pi01",0.01,0.019,0.009
20260821,9,"separate_mirage","pi11",0.01,0.001,0.009
20260821,9,"separate_mirage","eta1_C1",0.05,0.208223211898043,0.158223211898043
20260821,9,"separate_mirage","eta1_C2",0.2,0.116752415566243,0.0832475844337569
