"seed","replicate","method","parameter","truth","estimate","abs_error"
20260819,7,"separate_mirage","eta2_C2",0.15,0.0115868224892786,0.138413177510721
20260819,7,"separate_mirage","eta2_C3",0.4,0.997768688464848,0.597768688464848
20260819,7,"mtada_aggregated","pi00",0.94,0.9400815,8.14999999999566e-05
20260819,7,"mtada_aggregated","pi10",0.04,0.0399185,8.14999999999982e-05
20260819,7,"mtada_aggregated","pi01",0.01,0.0099185,8.15e-05
20260819,7,"mtada_aggregated","pi11",0.01,0.0100815,8.15e-05
20260820,8,"mirage_joint","pi00",0.94,0.798753307036532,0.141246692963468
20260820,8,"mirage_joint","pi10",0.04,0.0813450630140693,0.0413450630140693
20260820,8,"mirage_joint","pi01",0.01,0.110737620510498,0.100737620510498
20260820,8,"mirage_joint","pi11",0.01,0.00916400943890108,0.000835990561098924
20260820,8,"mirage_joint","eta1_C1",0.05,0.0391882559241817,0.0108117440758183
20260820,8,"mirage_joint","eta1_C2",0.2,0.311064311429728,0.111064311429728
20260820,8,"mirage_joint","eta1_C3",0.5,0.440619190929782,0.0593808090702175
20260820,8,"mirage_joint","eta2_C1",0.03,0.00097029975310692,0.0290297002468931
20260820,8,"mirage_joint","eta2_C2",0.15,0.302156405252784,0.152156405252784
20260820,8,"mirage_joint","eta2_C3",0.4,1.30705235794989e-05,0.39998692947642
20260820,8,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260820,8,"separate_mirage","pi10",0.04,0.049,0.009
20260820,8,"separate_mirage","pi01",0.01,0.019,0.009
20260820,8,"separate_mirage","pi11",0.01,0.001,0.009
20260820,8,"separate_mirage","eta1_C1",0.05,0.0680112400930243,0.0180112400930243
20260820,8,"separate_mirage","eta1_C2",0.2,0.397040059188818,0.197040059188818
20260820,8,"separate_mirage","eta1_C3",0.5,0.577667907465627,0.0776679074656266
20260820,8,"separate_mirage","eta2_C1",0.03,0.00111744152411876,0.0288825584758812
20260820,8,"separate_mirage","eta2_C2",0.15,0.523373623410153,0.373373623410153
20260820,8,"separate_mirage","eta2_C3",0.4,7.18547108268378e-07,0.399999281452892
20260820,8,"mtada_aggregated","pi00",0.94,0.93795927,0.00204073000000005
20260820,8,"mtada_aggregated","pi10",0.04,0.04204073,0.00204073
20260820,8,"mtada_aggregated","pi01",0.01,0.01204073,0.00204073
20260820,8,"mtada_aggregated","pi11",0.01,0.00795927,0.00204073
20260821,9,"mirage_joint","pi00",0.94,0.924963784375502,0.0150362156244983
20260821,9,"mirage_joint","pi10",0.04,0.0139766476922507,0.0260233523077493
20260821,9,"mirage_joint","pi01",0.01,0.0332787301786811,0.0232787301786811
20260821,9,"mirage_joint","pi11",0.01,0.0277808377535666,0.0177808377535666
20260821,9,"mirage_joint","eta1_C1",0.05,0.0620685069249753,0.0120685069249753
20260821,9,"mirage_joint","eta1_C2",0.2,0.494488563676906,0.294488563676906
20260821,9,"mirage_joint","eta1_C3",0.5,0.586294782968679,0.0862947829686788
20260821,9,"mirage_joint","eta2_C1",0.03,0.0626709234247577,0.0326709234247577
20260821,9,"mirage_joint","eta2_C2",0.15,0.000760628271247622,0.149239371728752
20260821,9,"mirage_joint","eta2_C3",0.4,0.308064620736803,0.0919353792631973
20260821,9,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260821,9,"separate_mirage","pi10",0.04,0.049,0.009
20260821,9,"separate_mirage","pi01",0.01,0.019,0.009
20260821,9,"separate_mirage","pi11",0.01,0.001,0.009
20260821,9,"separate_mirage","eta1_C1",0.05,0.0574758794231195,0.00747587942311954
20260821,9,"separate_mirage","eta1_C2",0.2,0.410916688791658,0.210916688791658
20260821,9,"separate_mirage","eta1_C3",0.5,0.525987503326856,0.0259875033268563
20260821,9,"separate_mirage","eta2_C1",0.03,0.12610428646268,0.0961042864626805
20260821,9,"separate_mirage","eta2_C2",0.15,0.00112924798835618,0.148870752011644
20260821,9,"separate_mirage","eta2_C3",0.4,0.46282850477709,0.0628285047770902
20260821,9,"mtada_aggregated","pi00",0.94,0.93794011,0.00205988999999995
20260821,9,"mtada_aggregated","pi10",0.04,0.04205989,0.00205989
