"rep","bg_variants","causal_variants","bg_causal_variants","case_bg","control_bg","case_per_bg","control_per_bg","case_af","control_af"
42,725,77,6,3772,3837,5.20275862068966,5.29241379310345,0.000867126436781609,0.000882068965517241
43,764,74,3,4034,4009,5.28010471204188,5.24738219895288,0.000880017452006981,0.00087456369982548
44,781,77,4,3923,4030,5.02304737516005,5.16005121638924,0.000837174562526675,0.000860008536064874
45,733,68,5,3558,3492,4.85402455661664,4.76398362892224,0.000809004092769441,0.00079399727148704
46,792,63,5,4175,4112,5.27146464646465,5.19191919191919,0.000878577441077441,0.000865319865319865
47,740,72,2,3799,3857,5.13378378378378,5.21216216216216,0.000855630630630631,0.000868693693693694
48,730,57,4,3459,3313,4.73835616438356,4.53835616438356,0.00078972602739726,0.000756392694063927
49,782,70,1,4033,4035,5.15728900255754,5.15984654731458,0.000859548167092924,0.00085997442455243
50,729,65,3,3822,3879,5.24279835390946,5.32098765432099,0.000873799725651578,0.000886831275720165
51,705,72,2,3416,3431,4.84539007092199,4.86666666666667,0.000807565011820331,0.000811111111111111
52,811,63,2,3910,3845,4.82120838471023,4.74106041923551,0.000803534730785039,0.000790176736539252
53,754,71,1,4152,4310,5.50663129973475,5.71618037135279,0.000917771883289125,0.000952696728558798
54,772,73,8,4704,4521,6.09326424870466,5.85621761658031,0.00101554404145078,0.000976036269430052
55,716,61,1,3606,3430,5.03631284916201,4.79050279329609,0.000839385474860335,0.000798417132216015
56,776,73,3,4140,4194,5.33505154639175,5.40463917525773,0.000889175257731959,0.000900773195876289
57,741,58,3,3642,3554,4.91497975708502,4.79622132253711,0.000819163292847503,0.000799370220422852
58,768,71,4,3986,3885,5.19010416666667,5.05859375,0.000865017361111111,0.000843098958333333
59,746,60,5,4077,3996,5.46514745308311,5.35656836461126,0.000910857908847185,0.000892761394101877
60,721,79,7,3910,3814,5.42302357836338,5.28987517337032,0.000903837263060564,0.000881645862228386
61,763,71,1,4153,4026,5.44298820445609,5.27653997378768,0.000907164700742682,0.000879423328964613
62,729,75,2,3649,3730,5.00548696844993,5.11659807956104,0.000834247828074989,0.000852766346593507
63,756,73,5,4504,4021,5.95767195767196,5.31878306878307,0.00099294532627866,0.000886463844797178
64,725,58,0,3576,3510,4.93241379310345,4.84137931034483,0.000822068965517241,0.000806896551724138
65,723,72,4,3725,3834,5.1521438450899,5.30290456431535,0.000858690640848317,0.000883817427385892
66,752,80,5,4082,3927,5.4281914893617,5.22207446808511,0.000904698581560284,0.000870345744680851
67,757,53,3,4096,4095,5.4108322324967,5.40951122853369,0.000901805372082783,0.000901585204755614
